rank,company_name,company_url,company_source,job_count,fit_band,score,title,job_url,date_updated,hours_per_week,salary,estimated_monthly_usd,skill_requirement,positives,concerns,summary
1,Snappyvas,https://snappyvas.com,inferred_from_domain,1,Excellent,77,Virtual Assistant (Claude Cowork/Lovable Expert) — 100% Remote,https://www.onlinejobs.ph/jobseekers/job/Virtual-Assistant-Claude-CoworkLovable-Expert-100-Remote-1680127,"Jul 1, 2026",35,up to 650 monthly,650.0,Email Marketing AI Tools AI Automation,"Modern AI/tooling: claude, claude code, lovable, chatgpt, ai tools | Websites, landing pages, dashboards: landing page, landing pages | Funnels, CRM, automations: ghl, zapier, n8n, automation, workflow | Sales, outbound, lead lists: lead generation, lead gen, prospecting | Early-career friendly language: assistant, va, virtual assistant, sop, sops | Budget fit: listed around $650/month","May be too senior: lead, director, expert, advanced","AI First. If you didn't start reading this ad already thinking about how you'd automate it — this role probably isn't for you. But if you live and breathe AI, keep reading. We're SnappyVAS (snappyvas.com) — an AI-first company and a no-code platform for..."
2,Healthy Vision Institute,,exposed_company_or_brand,1,Excellent,76,GoHighLevel Specialist + Website+Video & Social Media Creator,https://www.onlinejobs.ph/jobseekers/job/GoHighLevel-Specialist-WebsiteVideo-Social-Media-Creator-1665101,"Jun 25, 2026",45,$600-$750 base + huge bonus,750.0,Social Media Content Creation Google Sites AI Automation,"Modern AI/tooling: ai automation, capcut, canva | Websites, landing pages, dashboards: website, landing page, landing pages, dashboard, dashboards | Funnels, CRM, automations: gohighlevel, ghl, funnel, funnels, make.com | Early-career friendly language: will train, va, sop, templates | Strong budget fit: listed around $750/month","May be too senior: senior, manager, lead, advanced","GoHighLevel Specialist + Website+Video & Social Media Creator Remote · Full-Time · US Eye-Care Medical Group (Florida) Base $700–$1,100 USD/month + uncapped new-patient bonuses that can DOUBLE your base. Read This First This is not a generic VA job. We are..."
3,Cynergists AI,,inferred_from_description,1,Excellent,75,Senior Growth Marketing Manager,https://www.onlinejobs.ph/jobseekers/job/Senior-Growth-Marketing-Manager-1666840,"Jun 29, 2026",40,$8,8.0,,"Modern AI/tooling: claude, chatgpt, ai tools, heygen, veo | Websites, landing pages, dashboards: landing page, dashboard, dashboards | Funnels, CRM, automations: gohighlevel, ghl, funnel, automation, crm | Sales, outbound, lead lists: lead generation, lead gen, linkedin | Early-career friendly language: va | Budget fit: listed around $8/month","May be too senior: senior, manager, lead","Senior Growth Marketing Manager (Google Ads, AI Creative & Demand Generation) About Cynergists AI Cynergists AI is building the future of business operations through an Agentic CRM, AI Agents, automation, voice, SMS, email, customer intelligence, and..."
4,Set 2 Close,,inferred_from_description,2,Excellent,74,HubSpot CMS & UX/UI Web Developer,https://www.onlinejobs.ph/jobseekers/job/HubSpot-CMS-UXUI-Web-Developer-1664942,"Jun 26, 2026",40,$8-$12,12.0,,"Modern AI/tooling: canva | Websites, landing pages, dashboards: website, web design, landing page, landing pages, dashboard | Funnels, CRM, automations: automation, workflow, crm, hubspot | Sales, outbound, lead lists: lead generation, lead gen | Early-career friendly language: va, templates | Budget fit: listed around $12/month","May be too senior: manager, lead","HubSpot CMS & UX/UI Web Developer Location: Remote Employment Type: Full-Time Contract Work Schedule: Must be available to work during Pacific Standard Time business hours Compensation: $8–$12 per hour USD, depending on experience and skill set About Set 2..."
5,Leadflow Consulting,,exposed_company_or_brand,1,Excellent,73,"Claude AI Specialist (Cowork / Code) | Full-Time, Long-Term",https://www.onlinejobs.ph/jobseekers/job/Claude-AI-Specialist-Cowork-Code-Full-Time-Long-Term-1678141,"Jun 28, 2026",40,800,800.0,AI Tools AI Automation,"Modern AI/tooling: claude, claude code, ai tools, ai automation | Websites, landing pages, dashboards: dashboard, dashboards | Funnels, CRM, automations: make.com, zapier, n8n, automation, workflow | Early-career friendly language: assistant, va, virtual assistant, templates | Strong budget fit: listed around $800/month","May be too senior: lead, expert, advanced",**About the role** I run a fast-growing AI consulting business serving high-profile entrepreneurs in the German-speaking market. We help them work with Claude (Cowork) and we build the setups and skills that run their business. We already run client Claude...
6,SMB Solutions,,inferred_from_description,1,Excellent,72,AI Research & Data Mining Specialist (Full-Time),https://www.onlinejobs.ph/jobseekers/job/AI-Research-Data-Mining-Specialist-Full-Time-1676548,"Jun 25, 2026",40,$500,500.0,Admin Data Processing Market Research Data Gathering,"Modern AI/tooling: claude, chatgpt, ai tools, ai automation | Websites, landing pages, dashboards: website | Funnels, CRM, automations: ghl, automation, crm, api | Sales, outbound, lead lists: lead generation, lead gen | Early-career friendly language: assistant, va, virtual assistant | Budget fit: listed around $500/month","May be too senior: lead, director",AI Research & Data Mining Specialist (Full-Time) Salary $80 to $125 USD per week Based on experience and demonstrated skill. Schedule Full-Time Monday through Friday 40 Hours Per Week Location Remote ? About SMB Solutions We are an AI automation and digital...
7,Vruum,https://vruum.ai,inferred_from_domain,1,Excellent,71,Sales Development Representative VA - DMN,https://www.onlinejobs.ph/jobseekers/job/Sales-Development-Representative-VA-DMN-1678990,"Jun 29, 2026",40,"PHP40,000",689.66,CRM Outbound Sales Sales Management,"Modern AI/tooling: claude, chatgpt, ai tools | Websites, landing pages, dashboards: website | Funnels, CRM, automations: crm, hubspot, sms | Sales, outbound, lead lists: lead generation, lead gen, lead list, outbound, cold email | Early-career friendly language: va, coachable | Budget fit: listed around $690/month",May be too senior: lead,"Remote SDR support for lead generation, outreach, CRM management, and appointment setting Remote role | Full-time or part-time Schedule to be aligned with the closer’s time zone and outreach needs Daily reporting is required Key Responsibilities • Execute..."
8,ZT (A Tutoring Company),,exposed_company_or_brand,1,Excellent,69,Associate Administrative Assistant | GHL + Customer Support [Phone Call/Email/Text],https://www.onlinejobs.ph/jobseekers/job/Associate-Administrative-Assistant-GHL-Customer-Support-Phone-CallEmailText-1680040,"Jul 1, 2026",40,$7/Hour,1212.4,Customer Service GoHighLevel AI Automation,"Modern AI/tooling: claude, chatgpt, ai tools, ai automation, canva | Funnels, CRM, automations: gohighlevel, ghl, automation, crm | Early-career friendly language: assistant, va, coachable | Near budget: listed around $1,212/month",,"We are hiring an assistant with proven experience and a strong background in wearing multiple hats. However, please note that this is not your usual VA role. We need someone who thinks beyond assigned tasks, takes initiative, and actively contributes to..."
9,Ascend Capital LLC,,inferred_from_description,1,Excellent,68,Business Funding SDR | Cold Caller | GoHighLevel CRM,https://www.onlinejobs.ph/jobseekers/job/Business-Funding-SDR-Cold-Caller-GoHighLevel-CRM-1679498,"Jun 30, 2026",40,$3-$5,5.0,CRM Cold Calling Sales,"Funnels, CRM, automations: gohighlevel, ghl, crm, api | Sales, outbound, lead lists: outbound, cold calling, appointment setting, sdr, sales development | Early-career friendly language: assistant, va, virtual assistant | Budget fit: listed around $5/month",May be too senior: lead,# Business Funding Sales Development Representative (SDR) | Cold Caller | GoHighLevel CRM ## About Ascend Capital LLC Ascend Capital LLC helps businesses across the United States access the capital they need to grow. We specialize in business funding...
10,MaS Dance Academy,,exposed_company_or_brand,1,Excellent,68,Coder Needed | Dance Academy,https://www.onlinejobs.ph/jobseekers/job/Coder-Needed-Dance-Academy-1592540,"Jun 26, 2026",40,$$$ Salary To Be Determined,,Javascript Virtual Assistant AI Automation,"Modern AI/tooling: claude, claude code, cursor, ai automation | Websites, landing pages, dashboards: website, html, css, react | Funnels, CRM, automations: zapier, n8n, automation, workflow, crm | Early-career friendly language: assistant, va, virtual assistant, templates | Budget likely reviewable: salary unclear","May be too senior: senior, lead","Full-time, long-term opportunity. Environment here is CREATIVE and FUN. YOUR FOCUS: You'll be building systems for explosive growth in 2026 and 2027. Examples: • Building Automations (n8n, Zapier, A.I. Tools etc.) • Website Development (HTML, CSS, Javascript..."
