rank,score,confidence,seniority,company_name,company_url,company_source,title,job_url,type_of_work,hours_per_week,date_updated,salary,estimated_monthly_usd,skill_requirement,why,summary
1,122,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,AI Automation Specialist,https://www.onlinejobs.ph/jobseekers/job/AI-Automation-Specialist-1678107,Full Time,45,"Jun 28, 2026",$2000/month,2000.0,Marketing Automation API Integration AI Automation,"Explicit tools: claude code, cursor, ai coding agent, coding agent, codex | AI/build signals: claude, ai automation, ai agent, ai agents, mcp | Build surface: github, repo, api, apis, webhook, webhooks, automation, automations | Code/build substrate: github, repo, api, apis, webhook, webhooks | Trainable language: va, we can teach | Scarcity/seniority signal: lead, expert","HIRING: AI Automation Specialist (Full-Time) Details about the position: - $1000 to $2000 USD per month! We are open to paying more than $2000 USD per month, depending on your skill level & experience. - Work from home! - 9AM to 6PM Eastern Time - Monday to..."
2,122,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,AI Automation Specialist,https://www.onlinejobs.ph/jobseekers/job/AI-Automation-Specialist-1678860,Full Time,45,"Jun 29, 2026",$2000/month,2000.0,Marketing Automation API Integration AI Automation,"Explicit tools: claude code, cursor, ai coding agent, coding agent, codex | AI/build signals: claude, ai automation, ai agent, ai agents, mcp | Build surface: github, repo, api, apis, webhook, webhooks, automation, automations | Code/build substrate: github, repo, api, apis, webhook, webhooks | Trainable language: va, we can teach | Scarcity/seniority signal: lead, expert","HIRING: AI Automation Specialist (Full-Time) Details about the position: - $1000 to $2000 USD per month! We are open to paying more than $2000 USD per month, depending on your skill level & experience. - Work from home! - 9AM to 6PM Eastern Time - Monday to..."
3,118,High-confidence vibe coding,"Senior ask, but trainable profile language",Unlimited Videos Service,,inferred_from_listing_header,Jr Vibe Coder / Developer Wanted,https://www.onlinejobs.ph/jobseekers/job/Jr-Vibe-Coder-Developer-Wanted-1680411,Full Time,35,"Jul 1, 2026",500,500.0,Shopify Web Programming AI Automation,"Explicit tools: vibe coder, claude code, cursor, windsurf, codex | AI/build signals: claude, ai tools, ai automation | Build surface: website, websites, landing page, landing pages, repo, html, css, javascript | Code/build substrate: repo, html, css, javascript, python, api | Trainable language: junior, va, entry-level, learn | Scarcity/seniority signal: expert","This Isn't a Job. It's a Lifestyle. You know who you are. You're the person who stays up until 3am building something nobody asked you to build - just because you wanted to see if it would work. You've got 14 browser tabs open right now, half of them are AI..."
4,114,High-confidence vibe coding,"Senior ask, but trainable profile language",Snappyvas,https://snappyvas.com,inferred_from_domain,Virtual Assistant (Claude Cowork/Lovable Expert) — 100% Remote,https://www.onlinejobs.ph/jobseekers/job/Virtual-Assistant-Claude-CoworkLovable-Expert-100-Remote-1680127,Full Time,35,"Jul 1, 2026",up to 650 monthly,650.0,Email Marketing AI Tools AI Automation,"Explicit tools: claude code, lovable | AI/build signals: claude, chatgpt, ai tools, ai automation, ai agent, ai agents | Build surface: landing page, landing pages, internal tool, internal tools, repo, api, automation, workflow | Code/build substrate: internal tool, internal tools, repo, api, lovable, claude code | Trainable language: assistant, va, virtual assistant, sop | Scarcity/seniority signal: lead, expert, advanced","AI First. If you didn't start reading this ad already thinking about how you'd automate it — this role probably isn't for you. But if you live and breathe AI, keep reading. We're SnappyVAS (snappyvas.com) — an AI-first company and a no-code platform for..."
5,113,High-confidence vibe coding,"Senior ask, but trainable profile language",Unlimited Videos Service,,inferred_from_listing_header,"Junior Tech Assistant / AI Vibe Coder - If You Live and Breathe Tech, Read This",https://www.onlinejobs.ph/jobseekers/job/Junior-Tech-Assistant-AI-Vibe-Coder-If-You-Live-and-Breathe-Tech-Read-This-1680410,Full Time,40,"Jul 1, 2026",$600/month,600.0,Technical Support Web Programming AI Tools,"Explicit tools: vibe coder, claude code, cursor, windsurf, codex | AI/build signals: claude, ai tools | Build surface: website, websites, landing page, landing pages, repo, html, css, javascript | Code/build substrate: repo, html, css, javascript, python, api | Trainable language: junior, assistant, va, entry-level, learn | Scarcity/seniority signal: expert","START YOUR APPLICATION WITH THE WORDS ""AI BUILDER"" OR IT WILL BE DELETED WITHOUT READING. This Isn't a Job. It's a Lifestyle. You know who you are. You're the person who stays up until 3am building something nobody asked you to build - just because you wanted..."
6,102,High-confidence vibe coding,"Senior ask, but trainable profile language",Score2Freedom,,inferred_from_listing_header,AI Automation Specialist / Executive Operations Assistant,https://www.onlinejobs.ph/jobseekers/job/AI-Automation-Specialist-Executive-Operations-Assistant-1678791,Full Time,40,"Jun 29, 2026",$400/month,400.0,CRM Lead Generation AI Automation,"Explicit tools: codex | AI/build signals: claude, chatgpt, ai tools, ai automation, perplexity | Build surface: repo, api, automation, workflow, workflows, gohighlevel, ghl | Code/build substrate: repo, api | Trainable language: assistant, va, templates | Scarcity/seniority signal: lead, manager","I am hiring a full-time AI Automation Specialist to help run and improve a fast-moving sales and lead generation operation. This is not a basic VA role. I need someone who is highly experienced with AI tools, automation tools, CRM systems, and workflow..."
7,100,High-confidence vibe coding,"Senior ask, but trainable profile language",Build Metric Pty Ltd,https://buildmetric.com.au,inferred_from_description,Agentic AI Developer,https://www.onlinejobs.ph/jobseekers/job/Agentic-AI-Developer-1679173,Any,40,"Jun 30, 2026",$7,7.0,Javascript Python AI Automation,"Explicit tools: claude code | AI/build signals: claude, ai tools, ai automation, agentic, mcp | Build surface: dashboard, dashboards, github, repo, javascript, typescript, python, api | Code/build substrate: dashboard, dashboards, github, repo, javascript, typescript | Trainable language: va, sop | Scarcity/seniority signal: lead",Job Title: Agentic AI Developer Company: Build Metric Pty Ltd (Australian) Location: PH Type: Full time Reporting to: Directors About the Role: This is a hands-on builder role. You will work directly with our leadership team to design and build agentic AI...
8,99,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,"Full Stack Software Engineer (Python, Automation & AI Systems)",https://www.onlinejobs.ph/jobseekers/job/Full-Stack-Software-Engineer-Python-Automation-AI-Systems-1676290,Part Time,20,"Jun 25, 2026","PH 25,000–35,000/month",603.45,Python Fullstack AI Tools,"Explicit tools: vibe coder, claude code, cursor, lovable, windsurf, ai-assisted development | AI/build signals: claude, chatgpt, ai tools, llm | Build surface: web app, react, next.js, supabase, github, repo, javascript, typescript | Code/build substrate: web app, react, next.js, supabase, github, repo | Trainable language: va | Scarcity/seniority signal: architect, expert, scale production, software architecture, security","Full Stack Software Engineer (Python, Automation & AI Systems) About Us We are looking for an experienced Full Stack Software Engineer with strong software engineering fundamentals and hands-on experience building production applications. We actively use..."
9,98,High-confidence vibe coding,"Senior ask, but trainable profile language",Lovable,https://lovable.dev,inferred_from_domain,Title: Senior Web Developer (Lovable.dev + Supabase) — Completion & Stabilization,https://www.onlinejobs.ph/jobseekers/job/Title-Senior-Web-Developer-Lovabledev-Supabase-Completion-Stabilization-1679520,Any,TBD,"Jun 30, 2026",500,500.0,Fullstack API Development,"Explicit tools: claude code, cursor, lovable, lovable.dev | AI/build signals: claude | Build surface: react, next.js, supabase, github, repo, typescript, api, apis | Code/build substrate: react, next.js, supabase, github, repo, typescript | Trainable language: va | Scarcity/seniority signal: senior",SENIOR WEB DEVELOPER (LOVABLE.DEV + SUPABASE) — COMPLETION & STABILIZATION Codeword to require: DYNASTY-DEV About the role: Our multi-brand operating system is built on Lovable.dev and Supabase. We don't need someone to build from scratch — we need someone...
10,96,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,AI Developer,https://www.onlinejobs.ph/jobseekers/job/AI-Developer-1648578,Gig,20,"Jun 27, 2026",600,600.0,ChatGPT GitHub AI Automation,"Explicit tools: claude code | AI/build signals: claude, chatgpt, ai tools, ai automation, agentic, mcp | Build surface: internal tool, internal tools, supabase, github, repo, api, apis, automation | Code/build substrate: internal tool, internal tools, supabase, github, repo, api | Trainable language: va | Scarcity/seniority signal: lead","We're looking for an AI-first developer who genuinely loves building and shows up with the plan. If you light up when you talk about wiring agents together, shipping internal tools fast, and using AI as a daily working partner, and you'd rather drive the..."
